Element	actin cytoskeleton reorganization	angiogenesis	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	p38mapk cascade	platelet activation	platelet degranulation	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	thromboxan synthesis	vasoconstriction	vasodilation
m32	0,1	0,111111111111111	0,1	0,1	0,1	0,0666666666666667	0,111111111111111	0,1	0,0833333333333333	0,0909090909090909	0,0714285714285714	0,0909090909090909	0,333333333333333	0,1	0,166666666666667	0,111111111111111	0	0	0,0909090909090909	0	0	0,111111111111111	0,0666666666666667	0,166666666666667	0,1	0,0909090909090909	0	0,0769230769230769	0	0,0833333333333333	0,0909090909090909	0,0909090909090909
m31	0,111111111111111	0,125	0,111111111111111	0,111111111111111	0,111111111111111	0,0714285714285714	0,125	0,111111111111111	0,0909090909090909	0,1	0,0769230769230769	0,1	0,5	0,111111111111111	0,2	0,125	0	0	0,1	0	0	0,125	0,0714285714285714	0,2	0,111111111111111	0,1	0	0,0833333333333333	0	0,0909090909090909	0,1	0,1
m53	0,125	0,142857142857143	0,125	0,125	0,125	0,0769230769230769	0,142857142857143	0,125	0,1	0,111111111111111	0,0833333333333333	0,111111111111111	1	0,125	0,25	0,142857142857143	0	0	0,111111111111111	0	0	0,142857142857143	0,0769230769230769	0,25	0,125	0,111111111111111	0	0,0909090909090909	0	0,1	0,111111111111111	0,111111111111111
m13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,333333333333333	0	0	0	0,25	0	0
m11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
