#Transcriptomic changes in joint tissues during the development of osteoarthritis (OA) are of interest for the discovery of biomarkers and mechanisms of disease. The objective of this study was to use the rat medial meniscus transection (MMT) model to discover stage and tissue-specific transcriptomic changes. Sham or MMT surgeries were performed in mature rats. Cartilage, menisci and synovium were scored for histopathological changes at 2, 4 and 6 weeks post-surgery and processed for RNA-sequencing. Differentially expressed genes (DEG) were used to identify pathways and mechanisms. Published transcriptomic datasets from animal models and human OA were used to confirm and extend present findings. The total number of DEGs was already high at 2 weeks (723 in meniscus), followed by cartilage (259) and synovium (42) and declined to varying degrees in meniscus and synovium but increased in cartilage at 6 weeks. The most upregulated genes included tenascins. The 'response to mechanical stimulus' and extracellular matrix-related pathways were enriched in both cartilage and meniscus. Pathways that were enriched in synovium at 4 weeks indicate processes related to synovial hyperplasia and fibrosis. Synovium also showed upregulation of IL-11 and several MMPs. The mechanical stimulus pathway included upregulation of the mechanoreceptors PIEZO1, PIEZO2 and TRPV4 and nerve growth factor. Analysis of data from prior RNA-sequencing studies of animal models and human OA support these findings. These results indicate several shared pathways that are affected during OA in cartilage and meniscus and support the role of mechanotransduction and other pathways in OA pathogenesis.
gene	cartilage 2-week	cartilage 2-week p-value	cartilage 4-week	cartilage 4-week p-value	cartilage 6-week	cartilage 6-week p-value	meniscus 2-week	meniscus 2-week p-value	meniscus 4-week	meniscus 4-week p-value	meniscus 6-week	meniscus 6-week p-value	synovium 2-week	synovium 2-week p-value	synovium 4-week	synovium 4-week p-value	synovium 6-week	synovium 6-week p-value
Aldh1l2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.608614805	0.007155242	1.499529228	0.007224665	0.0	1.0	0.0	1.0	0.0	1.0
Aldh6a1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.14282137	0.000452859	0.0	1.0	0.0	1.0	0.0	1.0
Aldoa	0.0	1.0	0.0	1.0	0.313014394	0.026485339	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Alox15	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.384931139	2.98213e-05	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Alpl	-0.556685665	0.019637084	-0.777021483	6.31917e-06	-0.622700479	0.003313555	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Amigo2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.2407905	0.002811818	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Amot	0.0	1.0	0.0	1.0	0.0	1.0	1.191567206	0.015246077	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Amotl2	0.0	1.0	0.396128469	0.04358264	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Ampd3	0.0	1.0	0.0	1.0	0.598115529	0.041861864	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Angpt2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.8509629	0.020447433	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Angptl1	-0.658338616	0.045739735	0.0	1.0	0.0	1.0	0.675171142	0.005458987	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Angptl7	0.0	1.0	0.0	1.0	0.0	1.0	-1.700415852	3.54005e-05	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Ankef1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.547635306	0.00172029	-2.850948332	0.010383004	0.0	1.0	0.0	1.0	0.0	1.0
Ankrd1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-3.341665777	0.004383747	0.0	1.0
Ano1	2.166175909	0.00711688	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Antxr1	0.0	1.0	0.0	1.0	0.0	1.0	1.740877988	1.49807e-05	1.250636583	0.016375397	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Anxa1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.409697436	0.008478289	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Anxa11	0.0	1.0	0.0	1.0	-0.428864831	0.029862155	-0.36567224	0.038428036	-0.448800822	0.013151922	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Anxa2	0.0	1.0	0.0	1.0	0.0	1.0	0.291342117	0.017830886	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Anxa8	0.0	1.0	0.0	1.0	0.391457534	0.029253232	0.540499061	0.015246077	0.0	1.0	0.937960003	5.11585e-07	0.0	1.0	0.0	1.0	0.0	1.0
Aoc3	0.0	1.0	0.0	1.0	0.0	1.0	-0.518456034	0.000410304	-0.406665328	0.010812769	-0.733421012	1.73473e-06	0.0	1.0	0.0	1.0	0.0	1.0
Aox1	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.736537936	0.009432902	0.0	1.0	0.0	1.0	0.0	1.0
Aox4	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.589696153	0.029939403	-2.250006047	1.37146e-05	0.0	1.0	0.0	1.0	-1.278326156	0.002621193
Ap3d1	0.0	1.0	0.0	1.0	0.0	1.0	0.371299509	0.012046572	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Apcdd1	-1.37277793	0.000626855	0.0	1.0	0.0	1.0	-0.750673126	0.024542871	-0.776671539	0.014459131	-1.140796437	6.83363e-05	0.0	1.0	0.0	1.0	0.0	1.0
Aplp1	0.0	1.0	0.0	1.0	0.0	1.0	1.137692608	0.011333525	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Aplp2	0.0	1.0	0.0	1.0	0.0	1.0	-0.562574949	6.64509e-07	-0.527349664	3.56661e-06	-0.47104654	0.000426785	0.0	1.0	0.0	1.0	0.0	1.0
Apod	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.105094491	0.047618706	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Apoe	1.072037904	9.76527e-06	0.546129493	0.001147515	0.0	1.0	0.0	1.0	0.0	1.0	-0.394748403	0.042688238	0.0	1.0	0.0	1.0	0.0	1.0
Apol3	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.611291566	0.039084852	0.0	1.0	0.0	1.0	0.0	1.0
Aqp1	0.0	1.0	1.157231637	0.000140183	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Aqp3	0.0	1.0	1.896323128	0.005459363	1.897962649	0.000533816	0.0	1.0	0.0	1.0	1.383317383	0.02734872	0.0	1.0	0.0	1.0	0.0	1.0
Aqp7	0.0	1.0	0.0	1.0	0.0	1.0	-2.480867653	2.19622e-06	0.0	1.0	-2.821754886	1.2936e-06	0.0	1.0	-1.358475554	0.017873892	0.0	1.0
Arf2	0.809402658	6.78622e-05	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Arf4	0.461048404	0.01009641	0.0	1.0	0.0	1.0	0.0	1.0	0.531633196	0.000290746	0.371897957	0.037007251	0.0	1.0	0.0	1.0	0.0	1.0
Arfgap1	0.0	1.0	0.0	1.0	0.0	1.0	0.520141	0.026726528	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Arfgap3	0.0	1.0	0.0	1.0	0.387337644	0.043225461	0.0	1.0	0.0	1.0	0.328362946	0.038296762	0.0	1.0	0.0	1.0	0.0	1.0
Arfip2	0.0	1.0	0.0	1.0	0.0	1.0	0.429597747	0.016955946	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Arhgap19	0.0	1.0	0.0	1.0	0.0	1.0	-1.005198529	0.013637203	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Arhgef19	0.0	1.0	0.0	1.0	0.0	1.0	0.941555404	0.016415231	0.0	1.0	1.194962186	0.016286203	0.0	1.0	0.0	1.0	0.0	1.0
Arl4d	0.0	1.0	0.0	1.0	0.0	1.0	-0.914680474	0.011386161	0.0	1.0	-0.971981543	0.010510362	0.0	1.0	0.0	1.0	0.0	1.0
Arsb	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.513121057	0.010260471	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Asgr2	0.0	1.0	0.0	1.0	0.0	1.0	-0.920839061	0.02523168	-1.251726285	0.006758124	-1.251725303	0.002755123	0.0	1.0	0.0	1.0	0.0	1.0
Atf3	0.0	1.0	0.0	1.0	0.0	1.0	0.851610355	0.027496463	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Atoh8	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-1.860603278	0.033358278	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Atp1a2	0.0	1.0	0.0	1.0	0.0	1.0	-1.341539532	8.10331e-05	-1.224629707	0.009969765	-1.469418212	0.000843835	0.0	1.0	0.0	1.0	0.0	1.0
Atp2a2	0.38125434	0.025333956	0.0	1.0	0.0	1.0	0.369378701	0.010017472	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Atp2a3	0.0	1.0	0.0	1.0	-0.842798535	0.024969033	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Atp6ap1l	0.0	1.0	0.0	1.0	0.0	1.0	-1.322780408	0.020109153	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
Atp6v0d2	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.85167085	0.000452859	0.0	1.0	0.0	1.0	0.0	1.0
Avpi1	1.034579302	0.000111095	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.688980313	0.020938017	0.0	1.0	0.0	1.0	0.0	1.0
B2m	0.0	1.0	0.0	1.0	0.0	1.0	-0.299550706	0.003384609	0.0	1.0	-0.268177127	0.033644492	0.0	1.0	0.0	1.0	0.0	1.0
B4galt1	0.0	1.0	0.0	1.0	0.0	1.0	1.105552452	0.002775814	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0
