Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m3148	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m1720	0	1	1	4	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m1956	1	2	1	3	1	2	2	2	1	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0
m1982	1	2	1	0	1	1	2	2	1	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
m3123	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
m3234	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
m2833	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	2	0	2	0	0	0
m1853	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0
m1967	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m2150	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m1951	0	0	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	2	1	0	3	3	0	3	1	1	3	1	1	0	0	2	0	2	0	1	1
m1698	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
m1816	1	0	1	2	1	2	0	0	1	0	0	0	0	0	0	0	0	2	2	2	0	2	2	0	1	1	0	2	0	0	1	0	1	0	0	2	0	2	0	0	0
m4189	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m1341	0	1	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
m4333	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m2271	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0
m1829	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m1846	0	1	1	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
m2275	1	0	1	2	1	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
m3238	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m3354	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m2347	0	1	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m4473	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m4840	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
m4841	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m4822	1	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	3	2	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0
m4615	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m4562	1	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	2	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0
m5618	2	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	1	1	2	0	2	2	0	2	2	0	3	0	0	2	0	2	0	0	1	0	1	0	0	0
m5629	0	1	2	0	1	2	1	1	0	0	1	0	0	0	0	0	0	1	1	2	0	2	2	1	2	2	0	2	1	1	2	0	1	0	0	1	0	1	0	1	1
m5946	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m5750	1	2	2	0	1	2	2	2	1	1	2	1	1	1	1	0	0	1	1	0	0	0	0	0	2	2	0	2	0	0	2	0	1	0	0	1	0	1	0	0	0
m5761	3	1	3	2	3	2	1	1	3	0	1	0	0	0	0	0	0	1	1	2	0	2	2	1	4	3	0	2	0	0	2	0	3	0	0	1	0	1	0	0	0
m5672	0	1	1	4	1	4	1	1	0	0	1	0	0	0	0	0	0	5	5	2	0	3	2	1	1	1	0	1	0	0	1	0	0	0	0	5	0	6	0	0	0
m5977	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m5746	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	2	1	1	1	0	1	0	0	1	0	1	0	1	1
m5986	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m5738	3	0	3	5	3	3	0	0	3	1	0	1	1	1	1	0	0	2	2	4	0	4	4	0	2	3	0	2	3	3	2	0	6	0	0	2	0	2	0	3	3
m5611	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
m5724	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
