Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m2092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m1932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0
m2091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
m2079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m2080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0
m1283	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m2097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
m818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m2082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m278	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	4	0	4	0	0	4	0	0	1	1	0	1	0	0	0	0
m707	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	1	0	1	0	0
m1567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	1	0	0
m2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	1	0	0
m286	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0
m283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m178	0	2	0	0	0	0	2	2	0	0	2	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
m1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
m2085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m2784	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
m4578	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
m5356	0	0	19	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	2	0	0	0	19	0	14	15	15	0	15	15	0	0	0	0	3	0	15	15
m5764	0	1	2	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
m6034	0	0	1	2	0	1	0	0	0	1	0	1	1	1	1	0	0	0	2	1	0	3	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0
m6344	0	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	1	0	3	1	0	0	2	0	1	3	3	0	2	2	0	0	1	0	2	0	3	3
m5295	1	1	2	3	1	2	1	1	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0
m6217	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
m5208	0	0	2	2	0	1	0	0	0	1	0	1	1	1	1	0	0	0	2	0	0	2	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	4	0	1	1
m5212	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0	4	1	0	0	1	0	1	0	0	0	0	0	0	0	3	0	5	0	0	0
m5276	3	1	3	8	3	1	1	1	3	0	1	0	0	0	0	0	0	2	6	4	0	5	4	0	0	3	0	2	5	4	0	2	7	0	0	2	0	4	0	4	4
m5210	0	1	1	2	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	3	0	0	0
m61	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
