Element	actin cytoskeleton reorganization	angiogenesis	apoptotic cell clearance	apoptotic process	cell motility	cytokine production involved in inflammatory response	endothelial cell proliferation	epithelium regeneration	establishment of cell polarity	fatty acid synthesis	fibroblast migration	gluconeogenese	glycogen synthesis	glycolysis	ketogenic acid synthesis	leukotriene synthesis	lipoxin synthesis	m1 phenotype and behavior	m2 phenotype and behavior	macrophage differentiation	maresin synthesis	monocyte extravasation	myeloid dendritic cell differentiation	natural killer cell chemotaxis	neutrophil chemotaxis	neutrophil extravasation	p38mapk cascade	phagocytosis, engulfment	platelet activation	platelet degranulation	pmn infiltration	positive regulation of acute inflammatory response	positive regulation of vascular permeability	prostaglandin synthesis	protectin synthesis	reactive oxygen species metabolic process	resolvin synthesis	response to endoplasmic reticulum stress	thromboxan synthesis	vasoconstriction	vasodilation
m6270	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.0833333333333333	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.125	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.111111111111111	0.142857142857143	0.142857142857143	0.166666666666667	0.166666666666667	0.142857142857143	0.25	0	0.166666666666667	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6271	0.142857142857143	0.2	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.0833333333333333	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.125	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.111111111111111	0.142857142857143	0.142857142857143	0.166666666666667	0.166666666666667	0.142857142857143	0.25	0	0.166666666666667	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.166666666666667	0.166666666666667
m6272	0.2	0.25	0.2	0.25	0.2	0.25	0.2	0.5	0.166666666666667	0.111111111111111	0.25	0.2	0.2	0.2	0.125	0.1	0.142857142857143	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.25	0.2	0.142857142857143	0.166666666666667	0.2	0.25	0.2	0.2	0.25	0	0.25	0.5	0.2	0	0.2	0.142857142857143	0.2	0.142857142857143	0.2	0.2
m6273	0.25	0.2	0.25	0.166666666666667	0.333333333333333	0.166666666666667	0.166666666666667	0.2	0.142857142857143	0.0833333333333333	0.166666666666667	0.166666666666667	0.142857142857143	0.166666666666667	0.111111111111111	0.0909090909090909	0.111111111111111	0.142857142857143	0.142857142857143	0.2	0.125	0.166666666666667	0.142857142857143	0.125	0.25	0.2	0.166666666666667	0.333333333333333	0.333333333333333	0.25	0	0.166666666666667	0.2	0.142857142857143	0	0.142857142857143	0.125	0.2	0.142857142857143	0.2	0.2
m5517	0.2	0.5	0.25	0.25	0.2	0.2	0.333333333333333	0.25	0.2	0.1	0.25	0.25	0.166666666666667	0.2	0.142857142857143	0.0909090909090909	0.142857142857143	0.166666666666667	0.166666666666667	0.2	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0.25	0.2	0.166666666666667	0.2	0.2	0.333333333333333	0	0.25	0.2	0.2	0	0.166666666666667	0.142857142857143	0.25	0.166666666666667	0.2	0.2
m6274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
