Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m134	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m120	0	0	0	0	0.333333333333333	0.25	0	0.5	0	0.25	0	0	0	0	0	0	0	0	0
m108	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m103	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m122	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m106	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	1	1	1
m143	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0
m131	0	0	0	0	0.333333333333333	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0
m133	0	0	0	0	0.333333333333333	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0
m132	0	0	0	0	0.5	0.333333333333333	0	0.333333333333333	0	0.333333333333333	0	0	0	0	0	0	0	0	0
m137	0	0	0	0	0.2	0.25	0.333333333333333	0.166666666666667	0	0.166666666666667	0	0	0	0	0.5	1	0	0	0
m138	0	0	0	0	0.25	0.333333333333333	0.5	0.2	0	0.2	0	0	0	0	1	0	0	0	0
m140	0	0	0	0	0.2	0.25	0.333333333333333	0.166666666666667	0	0.166666666666667	0	0	0	0	0.5	0	0	0	0
m136	0	0	0	0	0.166666666666667	0.2	0.25	0.142857142857143	0	0.142857142857143	0	0	0	0	0.333333333333333	0.5	0	0	0
m139	0	0	0	0	0.25	0.333333333333333	0.5	0.2	0	0.2	0	0	0	0	0	0	0	0	0
m144	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0.5	0.5	0.5
m145	0	0	0	0	0.333333333333333	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0.5	0.5	0.5
m147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m178	0	0	0	0	0.333333333333333	0.25	0	0.5	0	0.25	0	0	0	0	0	0	0	0	0
m180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
