Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	cheparon mediated autophagy	er stress	fabry disease	farber disease	gaucher disease	gaucher disease type-1	gaucher disease type-2	gaucher disease type-3	gm1 gangliosidosis	krabbe disease	macroautophagy	mitochondrial dysfunction	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sialidosis disease	tay-sachs disease	ubiquitin-dependent proteasomal degradation	unfolded protein response
m583	0	0	8	0	0	0	13	12	0	0	0	0	13	0	0	0	13	0	0	0	0	0	0	0	0
m588	0	0	1	0	0	0	2	2	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0
m611	0	0	12	0	0	0	15	14	0	0	0	0	15	0	8	0	15	0	0	0	0	0	0	0	0
m618	0	0	9	0	0	0	9	9	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0
m621	0	0	0	0	0	0	11	11	0	0	0	0	11	8	0	0	11	0	0	0	0	0	0	0	0
m632	0	0	10	0	0	0	12	10	0	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0
m640	0	0	7	0	0	0	7	7	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0
m641	0	0	0	0	1	0	2	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	2
m643	0	0	0	0	11	0	30	0	0	0	0	0	30	15	24	0	30	0	0	0	0	0	0	0	11
m644	0	0	0	0	0	0	25	24	0	0	0	0	25	13	15	0	25	0	0	0	0	0	0	0	0
m646	0	0	2	0	3	0	4	0	0	0	0	0	4	0	4	2	4	0	0	2	2	0	0	0	3
m650	0	0	6	0	3	0	6	0	0	0	0	0	6	2	6	4	6	0	0	4	4	0	0	0	3
m654	0	0	7	0	0	0	9	8	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0
m657	0	0	8	0	0	0	10	10	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0
m660	0	0	0	9	0	0	20	20	0	0	0	0	20	16	12	8	20	0	0	8	8	0	0	3	0
m663	0	0	14	0	0	0	29	28	0	0	0	0	29	27	27	18	29	0	0	18	18	0	0	0	0
m671	0	0	49	43	0	0	72	69	0	0	0	0	72	55	58	0	72	0	0	0	0	0	0	27	0
m680	0	0	2	0	0	0	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
m682	0	0	2	0	0	0	2	2	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0
m688	0	0	8	0	0	0	8	8	0	0	0	0	8	0	7	0	8	0	0	0	0	0	0	0	0
