Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m6484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6494	0.125	0.111111111111111	0.166666666666667	0	0	0	0	0	0	0.111111111111111	0	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m6495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6520	0.142857142857143	0.125	0.2	0	0	0	0	0	0	0.142857142857143	0	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m6521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6539	0.111111111111111	0.1	0.142857142857143	0	0	0	0	0	0	0.111111111111111	0	0.125	0.142857142857143	0.111111111111111	0.111111111111111	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m6540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6550	0.125	0.111111111111111	0.2	0	0	0	0	0	0	0.142857142857143	0	0.142857142857143	0.166666666666667	0.142857142857143	0.142857142857143	0	0	0.142857142857143	0.142857142857143	0.142857142857143
m6551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6553	0.142857142857143	0.125	0.2	0	0	0	0	0	0	0.142857142857143	0	0.166666666666667	0.2	0.142857142857143	0.142857142857143	0	0	0.166666666666667	0.166666666666667	0.166666666666667
m6554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6562	0.125	0.111111111111111	0.25	0	0	0	0	0	0	0.111111111111111	0	0.142857142857143	0.166666666666667	0.111111111111111	0.111111111111111	0	0	0.142857142857143	0.142857142857143	0.142857142857143
