Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m4648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m4770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m6415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m5351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
m160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
m159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
m177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
m182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
m169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
