Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m805	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m806	0.166666666666667	0.142857142857143	0	0.142857142857143	0.125	0.142857142857143
m807	0	0	0	0	0	0
m808	0	0	0	0	0	0
m759	0	0	0	0	0	0
m809	0	0	0	0	0	0
m810	0	0	0	0	0	0
m811	0.25	0.2	0	0.2	0.166666666666667	0.2
m812	0	0	0	0	0	0
m813	0	0	0	0	0	0
m814	0.111111111111111	0.1	0	0.1	0.0909090909090909	0.1
m815	0	0	0	0	0	0
m816	0	0	0	0	0	0
m817	0	0	0	0	0	0
m818	0	0	0	0	0	0
m819	0	0	0	0	0	0
m820	0	0	0	0	0	0
m821	0	0	0	0	0	0
m822	0	0	0	0	0	0
