Element	gaucher's disease	keratinocyte differentiation	krabbe disease	neutrophil degranulation	niemann-pick disease	regulation of programmed nerotic cell death
m866	0	0	0	0	0	0
m574	0	0	0	0	0	0
m867	0	0	0	0	0	0
m868	0	0	0	0	0	0
m869	0	0	0	0	0	0
m871	0	0	0	0	0	0
m872	0	0	0	0	0	0
m873	0	0	0	0	0	0
m874	0	0	0	0	0	0
m875	0	0	0	0	0	0
m876	0	0	0	0	0	0
m877	0	0	0	0	0	0
m878	0	0	0	0	0	0
m879	0	0	0	0	0	0
m880	0	0	0	0	0	0
m881	0	0	0	0	0	0
m882	0.25	0.25	0	0.25	0.25	0.25
m883	29.2333333333333	29.2333333333333	0	29.2333333333333	29.2333333333333	29.2333333333333
m884	0	0	0	0	0	0
m885	0	0	0	0	0	0
m886	0	0	0	0	0	0
m887	0	0	0	0	0	0
m888	0	0	0	0	0	0
m889	0	0	0	0	0	0
m890	0	0	0	0	0	0
m891	0	0	0	0	0	0
m892	0	0	0	0	0	0
m893	0	0	0	0	0	0
m894	0	0	0	0	0	0
m895	0	0	0	0	0	0
m896	0	0	0	0	0	0
m897	0	0	0	0	0	0
m898	0	0	0	0	0	0
m899	0	0	0	0	0	0
m900	0	0	0	0	0	0
m901	0	0	0	0	0	0
m902	0	0	0	0	0	0
m903	0	0	0	0	0	0
m232	0	0	0	0	0	0
m904	0	0	0	0	0	0
m905	0	0	0	0	0	0
m906	0	0	0	0	0	0
m907	0	0	0	0	0	0
m908	0	0	0	0	0	0
m909	0	0	0	0	0	0
m910	0	0	0	0	0	0
m594	0	0	0	0	0	0
m911	0	0	0	0	0	0
m912	0	0	0	0	0	0
m913	0	0	0	0	0	0
m914	0	0	0	0	0	0
m915	0	0	0	0	0	0
m916	0	0	0	0	0	0
m917	0	0	0	0	0	0
m918	1.5	1.5	0	1.5	1.5	1.5
m919	0	0	0	0	0	0
m920	0	0	0	0	0	0
m921	0	0	0	0	0	0
m922	0	0	0	0	0	0
m923	0	0	0	0	0	0
m924	0	0	0	0	0	0
m925	0	0	0	0	0	0
